barrels08,city08,comb08,fuelCost08,fuelType1,highway08,phevBlended,VClass,year,score
16.4805,17.0,20.0,2900.0,Premium Gasoline,26.0,False,1,2004,2
17.347894736842107,17.0,19.0,3050.0,Premium Gasoline,23.0,False,1,2004,1
16.4805,18.0,20.0,2900.0,Premium Gasoline,25.0,False,1,2004,1
14.98227272727273,19.0,22.0,2150.0,Regular Gasoline,26.0,False,1,2004,1
15.695714285714288,18.0,21.0,2250.0,Regular Gasoline,26.0,False,1,2004,1
18.311666666666667,16.0,18.0,3200.0,Premium Gasoline,22.0,False,1,2004,1
15.695714285714288,18.0,21.0,2250.0,Regular Gasoline,27.0,False,1,2004,5
15.695714285714288,18.0,21.0,2250.0,Regular Gasoline,27.0,False,1,2004,6
11.771785714285713,25.0,28.0,1700.0,Regular Gasoline,33.0,False,1,2004,1
12.677307692307693,23.0,26.0,1850.0,Regular Gasoline,30.0,False,1,2004,1
13.1844,21.0,25.0,2300.0,Premium Gasoline,30.0,False,1,2004,1
13.73375,22.0,24.0,2400.0,Premium Gasoline,28.0,False,1,2004,1
10.987,27.0,30.0,1600.0,Regular Gasoline,34.0,False,1,2004,1
14.330869565217393,20.0,23.0,2500.0,Premium Gasoline,27.0,False,1,2004,1
13.73375,21.0,24.0,2400.0,Premium Gasoline,28.0,False,1,2004,1
14.330869565217393,20.0,23.0,2500.0,Premium Gasoline,28.0,False,1,2004,1
10.61625,32.0,36.0,1400.0,Diesel,42.0,False,1,2004,1
11.581363636363635,30.0,33.0,1550.0,Diesel,38.0,False,1,2004,1
13.73375,21.0,24.0,2000.0,Regular Gasoline,28.0,False,1,2004,5
17.347894736842107,17.0,19.0,3050.0,Premium Gasoline,24.0,False,1,2004,1
17.347894736842107,16.0,19.0,3050.0,Premium Gasoline,23.0,False,1,2004,1
16.4805,17.0,20.0,2900.0,Premium Gasoline,24.0,False,1,2004,1
17.347894736842107,16.0,19.0,3050.0,Premium Gasoline,25.0,False,1,2004,1
14.98227272727273,19.0,22.0,2650.0,Premium Gasoline,27.0,False,1,2004,5
14.330869565217393,20.0,23.0,2500.0,Premium Gasoline,29.0,False,1,2004,5
14.330869565217393,20.0,23.0,2500.0,Premium Gasoline,27.0,False,1,2004,2
14.330869565217393,20.0,23.0,2500.0,Premium Gasoline,29.0,False,1,2004,2
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,26.0,False,1,2004,1
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,26.0,False,1,2004,2
14.98227272727273,19.0,22.0,2650.0,Premium Gasoline,27.0,False,1,2004,2
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,26.0,False,1,2004,2
17.347894736842107,16.0,19.0,3050.0,Premium Gasoline,24.0,False,1,2004,1
17.347894736842107,16.0,19.0,3050.0,Premium Gasoline,24.0,False,1,2004,2
17.347894736842107,16.0,19.0,3050.0,Premium Gasoline,23.0,False,1,2004,1
17.347894736842107,16.0,19.0,3050.0,Premium Gasoline,23.0,False,1,2004,2
20.600625,13.0,16.0,3650.0,Premium Gasoline,20.0,False,1,2004,1
18.311666666666667,16.0,18.0,3200.0,Premium Gasoline,22.0,False,1,2004,1
27.4675,10.0,12.0,4850.0,Premium Gasoline,16.0,False,1,2004,1
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,27.0,False,1,2004,5
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,27.0,False,1,2004,6
16.4805,17.0,20.0,2900.0,Premium Gasoline,25.0,False,1,2004,5
16.4805,17.0,20.0,2900.0,Premium Gasoline,25.0,False,1,2004,9
16.4805,17.0,20.0,2900.0,Premium Gasoline,25.0,False,1,2004,6
14.98227272727273,19.0,22.0,2650.0,Premium Gasoline,28.0,False,1,2004,1
14.98227272727273,19.0,22.0,2650.0,Premium Gasoline,28.0,False,1,2004,2
16.4805,17.0,20.0,2900.0,Premium Gasoline,25.0,False,1,2004,1
16.4805,17.0,20.0,2900.0,Premium Gasoline,24.0,False,1,2004,1
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,27.0,False,1,2004,5
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,27.0,False,1,2004,6
16.4805,17.0,20.0,2900.0,Premium Gasoline,25.0,False,1,2004,5
16.4805,17.0,20.0,2900.0,Premium Gasoline,25.0,False,1,2004,6
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,27.0,False,1,2004,1
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,27.0,False,1,2004,2
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,27.0,False,1,2004,1
17.347894736842107,16.0,19.0,3050.0,Premium Gasoline,23.0,False,1,2004,1
12.677307692307693,23.0,26.0,1850.0,Regular Gasoline,31.0,False,1,2004,2
12.207777777777778,23.0,27.0,1750.0,Regular Gasoline,32.0,False,1,2004,2
13.1844,21.0,25.0,1900.0,Regular Gasoline,31.0,False,1,2004,2
12.207777777777778,23.0,27.0,1750.0,Regular Gasoline,33.0,False,1,2004,2
14.98227272727273,20.0,22.0,2150.0,Regular Gasoline,28.0,False,1,2004,5
14.98227272727273,20.0,22.0,2150.0,Regular Gasoline,28.0,False,1,2004,6
14.98227272727273,20.0,22.0,2150.0,Regular Gasoline,27.0,False,1,2004,5
14.98227272727273,20.0,22.0,2150.0,Regular Gasoline,27.0,False,1,2004,6
15.695714285714288,19.0,21.0,2250.0,Regular Gasoline,26.0,False,1,2004,1
13.73375,21.0,24.0,2000.0,Regular Gasoline,29.0,False,1,2004,1
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,25.0,False,1,2004,1
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,26.0,False,1,2004,1
