barrels08,city08,comb08,fuelCost08,fuelType,fuelType1,highway08,make,model,phevBlended,VClass,year,score
11.771785714285713,25.0,28.0,2050.0,Premium,Premium Gasoline,33.0,MINI,Cooper,False,Minicompact Cars,2004.0,1.0
13.1844,22.0,25.0,2300.0,Premium,Premium Gasoline,31.0,MINI,Cooper S,False,Minicompact Cars,2004.0,1.0
14.330869565217393,20.0,23.0,2050.0,Regular,Regular Gasoline,28.0,Mitsubishi,Eclipse Spyder,False,Minicompact Cars,2004.0,2.0
14.330869565217393,20.0,23.0,2050.0,Regular,Regular Gasoline,28.0,Mitsubishi,Eclipse Spyder,False,Minicompact Cars,2004.0,1.0
16.4805,18.0,20.0,2400.0,Regular,Regular Gasoline,24.0,Mitsubishi,Eclipse Spyder,False,Minicompact Cars,2004.0,2.0
16.4805,18.0,20.0,2400.0,Regular,Regular Gasoline,24.0,Mitsubishi,Eclipse Spyder,False,Minicompact Cars,2004.0,1.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,26.0,Mitsubishi,Eclipse Spyder,False,Minicompact Cars,2004.0,1.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,25.0,Mitsubishi,Eclipse Spyder,False,Minicompact Cars,2004.0,1.0
13.73375,21.0,24.0,2400.0,Premium,Premium Gasoline,28.0,Volkswagen,New Beetle Convertible,False,Minicompact Cars,2004.0,1.0
14.98227272727273,19.0,22.0,2650.0,Premium,Premium Gasoline,26.0,Volkswagen,New Beetle Convertible,False,Minicompact Cars,2004.0,1.0
14.98227272727273,19.0,22.0,2150.0,Regular,Regular Gasoline,28.0,Volkswagen,New Beetle Convertible,False,Minicompact Cars,2004.0,5.0
14.98227272727273,19.0,22.0,2150.0,Regular,Regular Gasoline,28.0,Volkswagen,New Beetle Convertible,False,Minicompact Cars,2004.0,6.0
12.677307692307693,24.0,26.0,1850.0,Regular,Regular Gasoline,30.0,Acura,RSX,False,Subcompact Cars,2004.0,2.0
12.677307692307693,24.0,26.0,1850.0,Regular,Regular Gasoline,30.0,Acura,RSX,False,Subcompact Cars,2004.0,5.0
13.73375,21.0,24.0,2400.0,Premium,Premium Gasoline,28.0,Acura,RSX,False,Subcompact Cars,2004.0,2.0
13.73375,21.0,24.0,2400.0,Premium,Premium Gasoline,28.0,Acura,RSX,False,Subcompact Cars,2004.0,5.0
13.1844,22.0,25.0,1900.0,Regular,Regular Gasoline,31.0,Acura,RSX,False,Subcompact Cars,2004.0,2.0
13.1844,22.0,25.0,1900.0,Regular,Regular Gasoline,31.0,Acura,RSX,False,Subcompact Cars,2004.0,5.0
14.330869565217393,20.0,23.0,2500.0,Premium,Premium Gasoline,28.0,Audi,A4 Cabriolet,False,Subcompact Cars,2004.0,2.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,25.0,Audi,A4 Cabriolet,False,Subcompact Cars,2004.0,1.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,25.0,Audi,A4 Cabriolet,False,Subcompact Cars,2004.0,2.0
17.347894736842107,16.0,19.0,3050.0,Premium,Premium Gasoline,23.0,Audi,A4 Cabriolet quattro,False,Subcompact Cars,2004.0,1.0
17.347894736842107,16.0,19.0,3050.0,Premium,Premium Gasoline,23.0,Audi,A4 Cabriolet quattro,False,Subcompact Cars,2004.0,2.0
20.600625,13.0,16.0,3650.0,Premium,Premium Gasoline,20.0,Audi,S4 Cabriolet,False,Subcompact Cars,2004.0,1.0
18.311666666666667,16.0,18.0,3200.0,Premium,Premium Gasoline,21.0,Audi,S4 Cabriolet,False,Subcompact Cars,2004.0,1.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,27.0,BMW,325ci,False,Subcompact Cars,2004.0,5.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,27.0,BMW,325ci,False,Subcompact Cars,2004.0,6.0
16.4805,17.0,20.0,2900.0,Premium,Premium Gasoline,25.0,BMW,325ci,False,Subcompact Cars,2004.0,5.0
16.4805,17.0,20.0,2900.0,Premium,Premium Gasoline,25.0,BMW,325ci,False,Subcompact Cars,2004.0,9.0
16.4805,17.0,20.0,2900.0,Premium,Premium Gasoline,25.0,BMW,325ci,False,Subcompact Cars,2004.0,6.0
14.98227272727273,19.0,22.0,2650.0,Premium,Premium Gasoline,28.0,BMW,325ci,False,Subcompact Cars,2004.0,1.0
14.98227272727273,19.0,22.0,2650.0,Premium,Premium Gasoline,28.0,BMW,325ci,False,Subcompact Cars,2004.0,2.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,27.0,BMW,330ci,False,Subcompact Cars,2004.0,5.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,27.0,BMW,330ci,False,Subcompact Cars,2004.0,6.0
16.4805,17.0,20.0,2900.0,Premium,Premium Gasoline,25.0,BMW,330ci,False,Subcompact Cars,2004.0,5.0
16.4805,17.0,20.0,2900.0,Premium,Premium Gasoline,25.0,BMW,330ci,False,Subcompact Cars,2004.0,6.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,27.0,BMW,330ci,False,Subcompact Cars,2004.0,1.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,27.0,BMW,330ci,False,Subcompact Cars,2004.0,2.0
18.311666666666667,15.0,18.0,3200.0,Premium,Premium Gasoline,23.0,BMW,645ci,False,Subcompact Cars,2004.0,1.0
17.347894736842107,16.0,19.0,3050.0,Premium,Premium Gasoline,24.0,BMW,645ci,False,Subcompact Cars,2004.0,1.0
19.388823529411766,15.0,17.0,3400.0,Premium,Premium Gasoline,22.0,BMW,645ci,False,Subcompact Cars,2004.0,1.0
20.600625,13.0,16.0,3650.0,Premium,Premium Gasoline,21.0,BMW,645ci Convertible,False,Subcompact Cars,2004.0,1.0
17.347894736842107,16.0,19.0,3050.0,Premium,Premium Gasoline,24.0,BMW,645ci Convertible,False,Subcompact Cars,2004.0,1.0
19.388823529411766,15.0,17.0,3400.0,Premium,Premium Gasoline,22.0,BMW,M3,False,Subcompact Cars,2004.0,1.0
19.388823529411766,15.0,17.0,3400.0,Premium,Premium Gasoline,21.0,BMW,M3,False,Subcompact Cars,2004.0,1.0
16.4805,17.0,20.0,2400.0,Regular,Regular Gasoline,25.0,Ford,Mustang,False,Subcompact Cars,2004.0,2.0
16.4805,17.0,20.0,2400.0,Regular,Regular Gasoline,25.0,Ford,Mustang,False,Subcompact Cars,2004.0,1.0
15.695714285714288,18.0,21.0,2250.0,Regular,Regular Gasoline,27.0,Ford,Mustang,False,Subcompact Cars,2004.0,2.0
15.695714285714288,18.0,21.0,2250.0,Regular,Regular Gasoline,27.0,Ford,Mustang,False,Subcompact Cars,2004.0,1.0
16.4805,17.0,20.0,2400.0,Regular,Regular Gasoline,24.0,Ford,Mustang,False,Subcompact Cars,2004.0,2.0
16.4805,17.0,20.0,2400.0,Regular,Regular Gasoline,24.0,Ford,Mustang,False,Subcompact Cars,2004.0,1.0
18.311666666666667,16.0,18.0,2650.0,Regular,Regular Gasoline,21.0,Ford,Mustang,False,Subcompact Cars,2004.0,2.0
19.388823529411766,15.0,17.0,2800.0,Regular,Regular Gasoline,21.0,Ford,Mustang,False,Subcompact Cars,2004.0,2.0
18.311666666666667,15.0,18.0,2650.0,Regular,Regular Gasoline,23.0,Ford,Mustang,False,Subcompact Cars,2004.0,2.0
19.388823529411766,15.0,17.0,2800.0,Regular,Regular Gasoline,22.0,Ford,Mustang,False,Subcompact Cars,2004.0,2.0
14.98227272727273,20.0,22.0,2150.0,Regular,Regular Gasoline,27.0,Hyundai,Tiburon,False,Subcompact Cars,2004.0,1.0
14.98227272727273,20.0,22.0,2150.0,Regular,Regular Gasoline,27.0,Hyundai,Tiburon,False,Subcompact Cars,2004.0,2.0
14.330869565217393,21.0,23.0,2050.0,Regular,Regular Gasoline,28.0,Hyundai,Tiburon,False,Subcompact Cars,2004.0,1.0
14.330869565217393,21.0,23.0,2050.0,Regular,Regular Gasoline,28.0,Hyundai,Tiburon,False,Subcompact Cars,2004.0,2.0
16.4805,17.0,20.0,2400.0,Regular,Regular Gasoline,24.0,Hyundai,Tiburon,False,Subcompact Cars,2004.0,1.0
17.347894736842107,16.0,19.0,2500.0,Regular,Regular Gasoline,24.0,Hyundai,Tiburon,False,Subcompact Cars,2004.0,1.0
17.347894736842107,16.0,19.0,3050.0,Premium,Premium Gasoline,24.0,Jaguar,XK8,False,Subcompact Cars,2004.0,5.0
19.388823529411766,14.0,17.0,3400.0,Premium,Premium Gasoline,21.0,Jaguar,XKR,False,Subcompact Cars,2004.0,1.0
27.4675,10.0,12.0,4850.0,Premium,Premium Gasoline,15.0,Maserati,Coupe Cambiocorsa/Coupe GT,False,Subcompact Cars,2004.0,1.0
27.4675,10.0,12.0,4850.0,Premium,Premium Gasoline,16.0,Maserati,Coupe Cambiocorsa/Coupe GT,False,Subcompact Cars,2004.0,1.0
18.311666666666667,16.0,18.0,3200.0,Premium,Premium Gasoline,22.0,Mazda,RX-8,False,Subcompact Cars,2004.0,5.0
16.4805,18.0,20.0,2900.0,Premium,Premium Gasoline,24.0,Mercedes-Benz,CLK320,False,Subcompact Cars,2004.0,2.0
16.4805,18.0,20.0,2900.0,Premium,Premium Gasoline,24.0,Mercedes-Benz,CLK320 (Cabriolet),False,Subcompact Cars,2004.0,2.0
19.388823529411766,15.0,17.0,3400.0,Premium,Premium Gasoline,21.0,Mercedes-Benz,CLK500,False,Subcompact Cars,2004.0,2.0
19.388823529411766,15.0,17.0,3400.0,Premium,Premium Gasoline,21.0,Mercedes-Benz,CLK500,False,Subcompact Cars,2004.0,5.0
19.388823529411766,15.0,17.0,3400.0,Premium,Premium Gasoline,21.0,Mercedes-Benz,CLK500 (Cabriolet),False,Subcompact Cars,2004.0,2.0
19.388823529411766,15.0,17.0,3400.0,Premium,Premium Gasoline,21.0,Mercedes-Benz,CLK500 (Cabriolet),False,Subcompact Cars,2004.0,5.0
20.600625,14.0,16.0,3650.0,Premium,Premium Gasoline,20.0,Mercedes-Benz,CLK55 AMG,False,Subcompact Cars,2004.0,1.0
20.600625,14.0,16.0,3650.0,Premium,Premium Gasoline,20.0,Mercedes-Benz,CLK55 AMG (Cabriolet),False,Subcompact Cars,2004.0,1.0
15.695714285714288,19.0,21.0,2250.0,Regular,Regular Gasoline,25.0,Mitsubishi,Eclipse,False,Subcompact Cars,2004.0,2.0
15.695714285714288,19.0,21.0,2250.0,Regular,Regular Gasoline,25.0,Mitsubishi,Eclipse,False,Subcompact Cars,2004.0,1.0
14.330869565217393,20.0,23.0,2050.0,Regular,Regular Gasoline,28.0,Mitsubishi,Eclipse,False,Subcompact Cars,2004.0,2.0
14.330869565217393,20.0,23.0,2050.0,Regular,Regular Gasoline,28.0,Mitsubishi,Eclipse,False,Subcompact Cars,2004.0,1.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,26.0,Mitsubishi,Eclipse,False,Subcompact Cars,2004.0,1.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,27.0,Mitsubishi,Eclipse,False,Subcompact Cars,2004.0,1.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,25.0,Mitsubishi,Eclipse,False,Subcompact Cars,2004.0,1.0
18.311666666666667,15.0,18.0,3200.0,Premium,Premium Gasoline,23.0,Roush Performance,Stage 3 Mustang,False,Subcompact Cars,2004.0,2.0
14.98227272727273,19.0,22.0,2650.0,Premium,Premium Gasoline,27.0,Saab,9-3 Convertible,False,Subcompact Cars,2004.0,2.0
14.98227272727273,18.0,22.0,2650.0,Premium,Premium Gasoline,28.0,Saab,9-3 Convertible,False,Subcompact Cars,2004.0,2.0
16.4805,17.0,20.0,2900.0,Premium,Premium Gasoline,26.0,Saab,9-3 Convertible,False,Subcompact Cars,2004.0,2.0
17.347894736842107,17.0,19.0,3050.0,Premium,Premium Gasoline,23.0,Subaru,Impreza AWD,False,Subcompact Cars,2004.0,1.0
16.4805,18.0,20.0,2900.0,Premium,Premium Gasoline,25.0,Subaru,Impreza AWD,False,Subcompact Cars,2004.0,1.0
14.98227272727273,19.0,22.0,2150.0,Regular,Regular Gasoline,26.0,Subaru,Impreza AWD,False,Subcompact Cars,2004.0,1.0
15.695714285714288,18.0,21.0,2250.0,Regular,Regular Gasoline,26.0,Subaru,Impreza AWD,False,Subcompact Cars,2004.0,1.0
18.311666666666667,16.0,18.0,3200.0,Premium,Premium Gasoline,22.0,Subaru,Impreza AWD,False,Subcompact Cars,2004.0,1.0
15.695714285714288,18.0,21.0,2250.0,Regular,Regular Gasoline,27.0,Toyota,Camry Solara Convertible,False,Compact Cars,2004.0,5.0
15.695714285714288,18.0,21.0,2250.0,Regular,Regular Gasoline,27.0,Toyota,Camry Solara Convertible,False,Compact Cars,2004.0,6.0
11.771785714285713,25.0,28.0,1700.0,Regular,Regular Gasoline,33.0,Toyota,Celica,False,Subcompact Cars,2004.0,1.0
12.677307692307693,23.0,26.0,1850.0,Regular,Regular Gasoline,30.0,Toyota,Celica,False,Subcompact Cars,2004.0,1.0
13.1844,21.0,25.0,2300.0,Premium,Premium Gasoline,30.0,Toyota,Celica,False,Subcompact Cars,2004.0,1.0
13.73375,22.0,24.0,2400.0,Premium,Premium Gasoline,28.0,Toyota,Celica,False,Subcompact Cars,2004.0,1.0
10.987,27.0,30.0,1600.0,Regular,Regular Gasoline,34.0,Scion,xA,False,Subcompact Cars,2004.0,1.0
14.330869565217393,20.0,23.0,2500.0,Premium,Premium Gasoline,27.0,Volkswagen,New Beetle,False,Subcompact Cars,2004.0,1.0
13.73375,21.0,24.0,2400.0,Premium,Premium Gasoline,28.0,Volkswagen,New Beetle,False,Subcompact Cars,2004.0,1.0
14.330869565217393,20.0,23.0,2500.0,Premium,Premium Gasoline,28.0,Volkswagen,New Beetle,False,Subcompact Cars,2004.0,1.0
10.61625,32.0,36.0,1400.0,Diesel,Diesel,42.0,Volkswagen,New Beetle,False,Subcompact Cars,2004.0,1.0
11.581363636363635,30.0,33.0,1550.0,Diesel,Diesel,38.0,Volkswagen,New Beetle,False,Subcompact Cars,2004.0,1.0
13.73375,21.0,24.0,2000.0,Regular,Regular Gasoline,28.0,Volkswagen,New Beetle,False,Subcompact Cars,2004.0,5.0
17.347894736842107,17.0,19.0,3050.0,Premium,Premium Gasoline,24.0,Volkswagen,R32,False,Subcompact Cars,2004.0,1.0
